1,84,4.0,881251793
1,87,4.0,881251955
1,180,4.0,881251728
1,290,4.0,881250949
1,364,4.0,881252172
1,366,4.0,881251955
1,432,4.0,881251793
1,650,4.0,881251702
1,673,4.0,881251601
1,752,4.0,881251045
2,49,3.0,891719775
2,341,3.0,879024459
2,365,3.0,879023073
2,400,3.0,879023556
2,465,3.0,879024345
2,528,3.0,879023882
2,560,3.0,879023751
2,573,3.0,879024212
2,578,3.0,891719774
2,669,3.0,879024099
3,83,3.0,878887810
3,103,4.0,878887680
3,148,2.0,878887925
3,289,4.0,878886682
3,304,3.0,878886845
3,312,4.0,878887765
3,348,4.0,878886479
3,404,3.0,878887925
3,469,2.0,878887377
3,996,3.0,878887598
4,13,4.0,880604379
4,228,4.0,880606947
4,297,4.0,880607269
4,318,4.0,880605869
4,329,4.0,880607489
4,436,4.0,880604004
4,450,4.0,880606243
4,733,4.0,880601937
4,775,4.0,880605333
4,1019,4.0,880607878
5,52,4.0,886397723
5,96,4.0,886397596
5,158,5.0,886397562
5,176,4.0,886397751
5,262,5.0,886397665
5,266,4.0,886397802
5,290,4.0,886397562
5,326,5.0,886397478
5,669,4.0,886397827
5,986,3.0,886397905
6,104,4.0,884183952
6,157,4.0,884182685
6,162,4.0,884124993
6,175,4.0,884125441
6,276,4.0,884127690
6,360,4.0,884183063
6,507,4.0,884182966
6,696,4.0,884183833
6,936,4.0,884125629
6,1003,4.0,884126805
7,50,4.0,881171982
7,139,4.0,881171558
7,146,4.0,881172117
7,161,4.0,881171558
7,355,4.0,881171558
7,409,4.0,881171273
7,525,4.0,881172303
7,731,4.0,881171137
7,817,4.0,881172183
7,1124,4.0,881171982
8,69,4.0,891628019
8,167,4.0,891628252
8,175,4.0,891628122
8,190,4.0,891628060
8,257,4.0,891628341
8,348,4.0,891628598
8,477,4.0,891628578
8,483,4.0,891628278
8,695,4.0,891628451
8,730,4.0,891628341
9,32,3.0,886322560
9,67,3.0,886323090
9,181,3.0,886323189
9,185,3.0,886308111
9,201,3.0,886322560
9,278,3.0,886322893
9,326,3.0,886308168
9,493,3.0,886323966
9,681,3.0,886307860
9,691,3.0,886323839
10,112,4.0,883602174
10,126,5.0,883601053
10,134,4.0,883599249
10,180,4.0,883602690
10,228,4.0,883602174
10,360,4.0,883600914
10,688,4.0,883602283
10,692,4.0,883268430
10,747,4.0,883602690
10,983,4.0,883601365
11,53,3.0,879372418
11,94,3.0,879373849
11,241,3.0,879374706
11,243,3.0,879372277
11,298,3.0,879373613
11,433,3.0,879372634
11,666,3.0,879372480
11,668,3.0,879375738
11,845,3.0,879375196
11,896,3.0,879375762
12,25,4.0,876521699
12,34,4.0,877533640
12,230,4.0,877531975
12,300,4.0,877531537
12,386,4.0,877534793
12,480,4.0,877531537
12,607,4.0,889651672
12,779,4.0,877533224
12,817,4.0,878142001
12,890,4.0,889652740
13,26,4.0,884127745
13,57,4.0,884128499
13,145,4.0,884125973
13,268,4.0,876042204
13,417,4.0,876042493
13,459,4.0,884130540
13,514,4.0,884130014
13,537,4.0,891825589
13,544,4.0,884130348
13,573,4.0,891825441
14,108,4.0,887730264
14,162,4.0,887736261
14,167,4.0,887737603
14,242,4.0,887736070
14,330,4.0,891036021
14,504,4.0,887730676
14,529,4.0,891035904
14,562,4.0,887730472
14,661,4.0,887736429
14,669,4.0,887734998
15,4,3.0,888104457
15,118,3.0,888082216
15,192,3.0,888082495
15,245,3.0,888082612
15,284,3.0,888103775
15,409,3.0,888103581
15,499,3.0,888082742
15,655,3.0,888082634
15,741,3.0,888103971
15,856,3.0,888103812
16,95,3.0,879467936
16,173,3.0,879483978
16,227,3.0,879468082
16,332,3.0,879466249
16,370,3.0,879485589
16,543,3.0,879544276
16,553,3.0,879467638
16,799,3.0,879468123
16,940,3.0,879466937
16,1150,3.0,879485352
17,10,4.0,879270458
17,33,4.0,879270605
17,255,4.0,879270128
17,263,4.0,879270567
17,274,4.0,879270482
17,289,4.0,879270084
17,360,4.0,879270424
17,483,4.0,879270424
17,492,4.0,879269963
17,875,4.0,879270849
18,10,3.0,879520991
18,59,4.0,879524216
18,173,3.0,879527421
